Mun;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;Total
130020 Atalaia do Norte;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
130030 Autazes;0.0;13.0;0.0;1.0;0.0;0.0;0.0;14.0
130040 Barcelos;1.0;2.0;0.0;1.0;0.0;0.0;0.0;4.0
130050 Barreirinha;5.0;5.0;0.0;1.0;0.0;0.0;0.0;11.0
130060 Benjamin Constant;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
130063 Beruri;3.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0
130068 Boa Vista do Ramos;2.0;2.0;0.0;1.0;0.0;0.0;0.0;5.0
130070 Boca do Acre;0.0;5.0;1.0;1.0;0.0;0.0;0.0;7.0
130080 Borba;0.0;9.0;0.0;1.0;0.0;0.0;0.0;10.0
130083 Caapiranga;0.0;4.0;0.0;1.0;0.0;0.0;0.0;5.0
130090 Canutama;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
130100 Carauari;2.0;6.0;0.0;1.0;0.0;0.0;0.0;9.0
130110 Careiro;0.0;14.0;0.0;1.0;0.0;0.0;0.0;15.0
130115 Careiro da Várzea;16.0;0.0;0.0;1.0;0.0;0.0;0.0;17.0
130120 Coari;0.0;14.0;5.0;1.0;0.0;0.0;0.0;20.0
130130 Codajás;8.0;0.0;1.0;1.0;0.0;0.0;0.0;10.0
130140 Eirunepé;0.0;4.0;1.0;1.0;0.0;0.0;0.0;6.0
130150 Envira;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
130160 Fonte Boa;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
130165 Guajará;4.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0
130170 Humaitá;0.0;12.0;4.0;1.0;0.0;0.0;0.0;17.0
130180 Ipixuna;3.0;3.0;0.0;1.0;0.0;0.0;0.0;7.0
130185 Iranduba;0.0;18.0;0.0;1.0;0.0;0.0;0.0;19.0
130190 Itacoatiara;0.0;15.0;3.0;1.0;0.0;0.0;0.0;19.0
130195 Itamarati;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
130200 Itapiranga;0.0;4.0;0.0;1.0;0.0;0.0;0.0;5.0
130210 Japurá;0.0;4.0;0.0;1.0;0.0;0.0;0.0;5.0
130220 Juruá;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
130230 Jutaí;1.0;2.0;0.0;1.0;0.0;0.0;0.0;4.0
130240 Lábrea;0.0;6.0;1.0;1.0;0.0;0.0;0.0;8.0
130250 Manacapuru;1.0;21.0;3.0;1.0;0.0;0.0;0.0;26.0
130255 Manaquiri;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
130260 Manaus;17.0;207.0;51.0;20.0;19.0;0.0;0.0;314.0
130270 Manicoré;0.0;11.0;0.0;1.0;0.0;0.0;0.0;12.0
130280 Maraã;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
130290 Maués;12.0;6.0;0.0;1.0;0.0;0.0;0.0;19.0
130300 Nhamundá;4.0;2.0;0.0;1.0;0.0;0.0;0.0;7.0
130310 Nova Olinda do Norte;4.0;7.0;0.0;1.0;0.0;0.0;0.0;12.0
130320 Novo Airão;4.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0
130330 Novo Aripuanã;0.0;5.0;1.0;1.0;0.0;0.0;0.0;7.0
130340 Parintins;0.0;15.0;2.0;2.0;0.0;0.0;0.0;19.0
130350 Pauini;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
130353 Presidente Figueiredo;8.0;14.0;1.0;1.0;0.0;0.0;0.0;24.0
130356 Rio Preto da Eva;6.0;9.0;1.0;1.0;0.0;0.0;0.0;17.0
130360 Santa Isabel do Rio Negro;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
130370 Santo Antônio do Içá;1.0;6.0;1.0;2.0;0.0;0.0;0.0;10.0
130380 São Gabriel da Cachoeira;7.0;5.0;0.0;1.0;0.0;0.0;0.0;13.0
130390 São Paulo de Olivença;0.0;6.0;0.0;1.0;0.0;0.0;0.0;7.0
130395 São Sebastião do Uatumã;0.0;4.0;0.0;1.0;0.0;0.0;0.0;5.0
130400 Silves;4.0;5.0;0.0;1.0;0.0;0.0;0.0;10.0
130406 Tabatinga;0.0;8.0;3.0;2.0;1.0;0.0;0.0;14.0
130410 Tapauá;0.0;6.0;0.0;1.0;0.0;0.0;0.0;7.0
130420 Tefé;1.0;10.0;1.0;1.0;1.0;0.0;0.0;14.0
130423 Tonantins;1.0;4.0;0.0;1.0;0.0;0.0;0.0;6.0
