Mun;2017;2018;2019;2020;2021;Total
351270 Corumbataí;0.0;0.0;0.0;0.0;0.0;0.0
351280 Cosmópolis;9.0;0.0;167.0;390.0;424.0;990.0
351290 Cosmorama;0.0;0.0;0.0;0.0;0.0;0.0
351300 Cotia;6811.0;7139.0;7056.0;5815.0;5456.0;32277.0
351310 Cravinhos;0.0;0.0;0.0;0.0;0.0;0.0
351320 Cristais Paulista;0.0;0.0;0.0;0.0;0.0;0.0
351330 Cruzália;0.0;0.0;0.0;0.0;0.0;0.0
351340 Cruzeiro;1211.0;1522.0;1615.0;1469.0;1531.0;7348.0
351350 Cubatão;58.0;1720.0;2234.0;2209.0;2317.0;8538.0
351360 Cunha;627.0;612.0;474.0;305.0;239.0;2257.0
351370 Descalvado;510.0;543.0;511.0;429.0;423.0;2416.0
351380 Diadema;11058.0;10377.0;10090.0;8141.0;5859.0;45525.0
351385 Dirce Reis;0.0;0.0;0.0;0.0;0.0;0.0
351390 Divinolândia;1889.0;1698.0;1892.0;1795.0;2199.0;9473.0
351400 Dobrada;0.0;0.0;0.0;0.0;0.0;0.0
351410 Dois Córregos;168.0;186.0;184.0;192.0;165.0;895.0
351420 Dolcinópolis;0.0;0.0;0.0;0.0;0.0;0.0
351430 Dourado;0.0;0.0;0.0;0.0;0.0;0.0
351440 Dracena;1135.0;1002.0;950.0;675.0;973.0;4735.0
351450 Duartina;50.0;7.0;75.0;138.0;120.0;390.0
351460 Dumont;0.0;0.0;0.0;0.0;0.0;0.0
351470 Echaporã;0.0;0.0;0.0;0.0;0.0;0.0
351480 Eldorado;0.0;0.0;0.0;0.0;0.0;0.0
351490 Elias Fausto;0.0;0.0;0.0;0.0;0.0;0.0
351492 Elisiário;0.0;0.0;0.0;0.0;0.0;0.0
351495 Embaúba;0.0;0.0;0.0;0.0;0.0;0.0
351500 Embu das Artes;732.0;738.0;851.0;667.0;917.0;3905.0
351510 Embu-Guaçu;0.0;0.0;37.0;34.0;12.0;83.0
351512 Emilianópolis;0.0;0.0;0.0;0.0;0.0;0.0
351515 Engenheiro Coelho;0.0;0.0;0.0;0.0;0.0;0.0
351518 Espírito Santo do Pinhal;877.0;780.0;813.0;772.0;874.0;4116.0
