Mun;2017;2018;2019;2020;2021;Total
330110 Cantagalo;1224.0;1110.0;1289.0;1003.0;1132.0;5758.0
330093 Carapebus;0.0;0.0;0.0;0.0;0.0;0.0
330115 Cardoso Moreira;0.0;0.0;0.0;0.0;0.0;0.0
330120 Carmo;840.0;879.0;908.0;847.0;899.0;4373.0
330130 Casimiro de Abreu;1208.0;1052.0;1165.0;1524.0;1699.0;6648.0
330095 Comendador Levy Gasparian;0.0;0.0;0.0;0.0;0.0;0.0
330140 Conceição de Macabu;255.0;282.0;156.0;229.0;372.0;1294.0
330150 Cordeiro;478.0;557.0;862.0;786.0;933.0;3616.0
330160 Duas Barras;378.0;409.0;344.0;306.0;351.0;1788.0
330170 Duque de Caxias;23032.0;22556.0;25852.0;27841.0;36647.0;135928.0
330180 Engenheiro Paulo de Frontin;269.0;196.0;206.0;226.0;457.0;1354.0
330185 Guapimirim;1963.0;1824.0;1671.0;1282.0;1704.0;8444.0
330187 Iguaba Grande;0.0;0.0;0.0;0.0;0.0;0.0
330190 Itaboraí;7121.0;6336.0;5767.0;5537.0;6447.0;31208.0
330200 Itaguaí;1437.0;1634.0;2084.0;2777.0;2308.0;10240.0
330205 Italva;0.0;0.0;0.0;0.0;0.0;0.0
330210 Itaocara;1088.0;1091.0;1040.0;826.0;885.0;4930.0
330220 Itaperuna;6199.0;6701.0;5826.0;5604.0;5827.0;30157.0
330225 Itatiaia;727.0;795.0;929.0;1101.0;958.0;4510.0
330227 Japeri;0.0;0.0;0.0;0.0;105.0;105.0
330230 Laje do Muriaé;88.0;38.0;93.0;0.0;96.0;315.0
330240 Macaé;6940.0;6991.0;7533.0;5588.0;7096.0;34148.0
330245 Macuco;0.0;0.0;0.0;0.0;0.0;0.0
330250 Magé;5012.0;5152.0;5522.0;5077.0;4831.0;25594.0
330260 Mangaratiba;965.0;1087.0;1226.0;1142.0;1550.0;5970.0
330270 Maricá;2685.0;3293.0;3656.0;4588.0;6481.0;20703.0
