Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
220250 Caracol;3.0;1.0;4.0;0.0;2.0;3.0;2.0;0.0;15.0
220253 Caraúbas do Piauí;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;5.0
220255 Caridade do Piauí;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;4.0
220260 Castelo do Piauí;1.0;11.0;8.0;1.0;3.0;1.0;1.0;0.0;26.0
220265 Caxingó;0.0;0.0;2.0;0.0;2.0;1.0;1.0;0.0;6.0
220270 Cocal;3.0;17.0;9.0;1.0;3.0;1.0;5.0;1.0;40.0
220271 Cocal de Telha;1.0;0.0;1.0;0.0;1.0;1.0;2.0;1.0;7.0
220272 Cocal dos Alves;1.0;5.0;2.0;1.0;1.0;0.0;0.0;0.0;10.0
220273 Coivaras;0.0;1.0;2.0;0.0;1.0;2.0;1.0;0.0;7.0
220275 Colônia do Gurguéia;1.0;1.0;3.0;0.0;1.0;0.0;1.0;0.0;7.0
220277 Colônia do Piauí;1.0;4.0;3.0;1.0;3.0;0.0;1.0;0.0;13.0
220280 Conceição do Canindé;0.0;3.0;3.0;1.0;1.0;0.0;1.0;0.0;9.0
220285 Coronel José Dias;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0
220290 Corrente;4.0;27.0;7.0;0.0;1.0;14.0;1.0;0.0;54.0
220300 Cristalândia do Piauí;0.0;2.0;0.0;1.0;1.0;2.0;1.0;0.0;7.0
220310 Cristino Castro;2.0;6.0;3.0;1.0;2.0;6.0;3.0;0.0;23.0
220320 Curimatá;0.0;4.0;4.0;1.0;1.0;7.0;1.0;0.0;18.0
220323 Currais;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0
220327 Curral Novo do Piauí;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;4.0
220325 Curralinhos;0.0;2.0;2.0;0.0;0.0;3.0;1.0;0.0;8.0
220330 Demerval Lobão;1.0;13.0;10.0;1.0;4.0;8.0;2.0;0.0;39.0
220335 Dirceu Arcoverde;1.0;2.0;3.0;1.0;1.0;0.0;0.0;0.0;8.0
220340 Dom Expedito Lopes;1.0;1.0;2.0;0.0;1.0;0.0;2.0;0.0;7.0
220345 Dom Inocêncio;1.0;2.0;3.0;1.0;2.0;1.0;1.0;1.0;12.0
220342 Domingos Mourão;0.0;2.0;2.0;0.0;1.0;1.0;1.0;0.0;7.0
220350 Elesbão Veloso;4.0;8.0;8.0;1.0;3.0;2.0;2.0;1.0;29.0
220360 Eliseu Martins;0.0;2.0;1.0;0.0;2.0;0.0;2.0;0.0;7.0
