Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
311960 Coronel Pacheco;0.0;3.0;2.0;1.0;1.0;3.0;1.0;0.0;11.0
311970 Coronel Xavier Chaves;0.0;2.0;1.0;0.0;0.0;4.0;1.0;0.0;8.0
311980 Córrego Danta;0.0;2.0;4.0;1.0;2.0;1.0;1.0;0.0;11.0
311990 Córrego do Bom Jesus;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0
311995 Córrego Fundo;0.0;5.0;3.0;1.0;1.0;0.0;1.0;0.0;11.0
312000 Córrego Novo;0.0;2.0;3.0;1.0;1.0;1.0;1.0;0.0;9.0
312010 Couto de Magalhães de Minas;1.0;5.0;2.0;0.0;2.0;2.0;1.0;1.0;14.0
312015 Crisólita;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;4.0
312020 Cristais;3.0;5.0;4.0;2.0;3.0;7.0;4.0;0.0;28.0
312030 Cristália;0.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;7.0
312040 Cristiano Otoni;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;6.0
312050 Cristina;2.0;9.0;7.0;2.0;1.0;7.0;3.0;0.0;31.0
312060 Crucilândia;2.0;9.0;5.0;1.0;1.0;2.0;4.0;0.0;24.0
312070 Cruzeiro da Fortaleza;1.0;6.0;2.0;0.0;1.0;0.0;2.0;0.0;12.0
312080 Cruzília;3.0;17.0;5.0;1.0;3.0;7.0;8.0;0.0;44.0
312083 Cuparaque;0.0;2.0;4.0;0.0;1.0;2.0;2.0;0.0;11.0
312087 Curral de Dentro;0.0;2.0;3.0;1.0;1.0;1.0;1.0;0.0;9.0
312090 Curvelo;12.0;77.0;37.0;8.0;17.0;38.0;22.0;7.0;218.0
312100 Datas;0.0;5.0;6.0;0.0;1.0;0.0;2.0;0.0;14.0
312110 Delfim Moreira;0.0;12.0;4.0;1.0;1.0;7.0;1.0;0.0;26.0
312120 Delfinópolis;0.0;12.0;3.0;1.0;1.0;2.0;1.0;1.0;21.0
312125 Delta;0.0;8.0;4.0;0.0;0.0;2.0;3.0;0.0;17.0
312130 Descoberto;1.0;2.0;6.0;2.0;1.0;1.0;2.0;0.0;15.0
312140 Desterro de Entre Rios;0.0;7.0;5.0;2.0;1.0;1.0;4.0;1.0;21.0
312150 Desterro do Melo;0.0;1.0;2.0;0.0;1.0;2.0;1.0;0.0;7.0
312160 Diamantina;11.0;113.0;62.0;10.0;30.0;35.0;26.0;2.0;289.0
312170 Diogo de Vasconcelos;1.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;8.0
312180 Dionísio;1.0;3.0;3.0;0.0;2.0;2.0;2.0;0.0;13.0
312190 Divinésia;1.0;2.0;2.0;0.0;1.0;0.0;2.0;1.0;9.0
312200 Divino;3.0;12.0;5.0;1.0;2.0;10.0;5.0;1.0;39.0
312210 Divino das Laranjeiras;0.0;7.0;0.0;0.0;2.0;1.0;1.0;0.0;11.0
312220 Divinolândia de Minas;1.0;7.0;4.0;1.0;1.0;1.0;1.0;0.0;16.0
312230 Divinópolis;39.0;555.0;260.0;36.0;57.0;329.0;167.0;14.0;1457.0
312235 Divisa Alegre;0.0;4.0;2.0;1.0;1.0;1.0;4.0;0.0;13.0
312240 Divisa Nova;1.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0
312245 Divisópolis;1.0;4.0;4.0;0.0;1.0;0.0;2.0;1.0;13.0
312247 Dom Bosco;0.0;6.0;1.0;0.0;0.0;0.0;1.0;0.0;8.0
312250 Dom Cavati;1.0;2.0;5.0;1.0;1.0;0.0;4.0;0.0;14.0
312260 Dom Joaquim;1.0;2.0;3.0;1.0;1.0;1.0;1.0;0.0;10.0
312270 Dom Silvério;1.0;6.0;3.0;0.0;0.0;2.0;1.0;0.0;13.0
312280 Dom Viçoso;1.0;1.0;2.0;0.0;0.0;3.0;2.0;0.0;9.0
312290 Dona Eusébia;0.0;1.0;5.0;1.0;0.0;1.0;1.0;0.0;9.0
312300 Dores de Campos;1.0;13.0;4.0;1.0;1.0;3.0;5.0;0.0;28.0
312310 Dores de Guanhães;0.0;5.0;2.0;0.0;0.0;1.0;1.0;0.0;9.0
312320 Dores do Indaiá;1.0;13.0;9.0;2.0;2.0;4.0;5.0;0.0;36.0
312330 Dores do Turvo;1.0;2.0;3.0;1.0;2.0;1.0;2.0;0.0;12.0
312340 Doresópolis;0.0;2.0;2.0;0.0;1.0;2.0;1.0;0.0;8.0
312350 Douradoquara;0.0;2.0;2.0;0.0;1.0;3.0;1.0;0.0;9.0
312352 Durandé;0.0;1.0;2.0;0.0;0.0;2.0;1.0;0.0;6.0
312360 Elói Mendes;3.0;16.0;17.0;3.0;2.0;35.0;11.0;2.0;89.0
312370 Engenheiro Caldas;0.0;5.0;5.0;0.0;2.0;7.0;5.0;0.0;24.0
312380 Engenheiro Navarro;0.0;4.0;2.0;1.0;1.0;0.0;1.0;1.0;10.0
312385 Entre Folhas;3.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;9.0
312390 Entre Rios de Minas;1.0;8.0;6.0;2.0;2.0;6.0;6.0;0.0;31.0
312400 Ervália;5.0;17.0;7.0;1.0;3.0;2.0;6.0;2.0;43.0
312410 Esmeraldas;3.0;41.0;8.0;2.0;3.0;18.0;12.0;0.0;87.0
312420 Espera Feliz;4.0;10.0;7.0;0.0;4.0;3.0;5.0;0.0;33.0
312430 Espinosa;6.0;16.0;7.0;1.0;3.0;7.0;6.0;1.0;47.0
312440 Espírito Santo do Dourado;0.0;4.0;3.0;0.0;1.0;4.0;0.0;0.0;12.0
312450 Estiva;0.0;9.0;2.0;0.0;3.0;5.0;2.0;0.0;21.0
312460 Estrela Dalva;0.0;6.0;1.0;1.0;1.0;0.0;1.0;0.0;10.0
312470 Estrela do Indaiá;1.0;2.0;4.0;1.0;1.0;1.0;1.0;0.0;11.0
312480 Estrela do Sul;0.0;2.0;1.0;1.0;1.0;1.0;3.0;0.0;9.0
312490 Eugenópolis;4.0;8.0;6.0;4.0;2.0;3.0;6.0;1.0;34.0
312500 Ewbank da Câmara;0.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;8.0
312510 Extrema;5.0;46.0;18.0;3.0;9.0;23.0;28.0;4.0;136.0
312520 Fama;1.0;4.0;1.0;0.0;1.0;1.0;1.0;0.0;9.0
312530 Faria Lemos;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;4.0
312540 Felício dos Santos;0.0;8.0;3.0;0.0;2.0;2.0;1.0;0.0;16.0
312560 Felisburgo;1.0;7.0;4.0;0.0;2.0;0.0;1.0;0.0;15.0
312570 Felixlândia;4.0;18.0;5.0;1.0;1.0;3.0;4.0;0.0;36.0
312580 Fernandes Tourinho;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;6.0
312590 Ferros;2.0;7.0;1.0;0.0;1.0;3.0;5.0;0.0;19.0
312595 Fervedouro;3.0;6.0;5.0;1.0;1.0;4.0;3.0;0.0;23.0
312600 Florestal;1.0;7.0;4.0;2.0;2.0;6.0;9.0;0.0;31.0
312610 Formiga;9.0;67.0;49.0;14.0;16.0;22.0;50.0;1.0;228.0
312620 Formoso;1.0;6.0;2.0;0.0;1.0;0.0;1.0;0.0;11.0
312630 Fortaleza de Minas;2.0;6.0;1.0;1.0;1.0;2.0;1.0;1.0;15.0
312640 Fortuna de Minas;0.0;2.0;1.0;1.0;2.0;2.0;3.0;0.0;11.0
312650 Francisco Badaró;1.0;1.0;2.0;2.0;1.0;3.0;1.0;1.0;12.0
312660 Francisco Dumont;0.0;6.0;2.0;1.0;1.0;1.0;2.0;0.0;13.0
312670 Francisco Sá;7.0;39.0;10.0;1.0;2.0;3.0;9.0;2.0;73.0
312675 Franciscópolis;1.0;9.0;2.0;1.0;1.0;1.0;2.0;0.0;17.0
312680 Frei Gaspar;1.0;0.0;2.0;0.0;1.0;2.0;1.0;0.0;7.0
312690 Frei Inocêncio;1.0;4.0;4.0;1.0;1.0;1.0;1.0;0.0;13.0
312695 Frei Lagonegro;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;4.0
312700 Fronteira;0.0;9.0;10.0;2.0;1.0;7.0;5.0;2.0;36.0
312705 Fronteira dos Vales;1.0;3.0;2.0;0.0;1.0;0.0;1.0;0.0;8.0
312707 Fruta de Leite;1.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;6.0
312710 Frutal;15.0;59.0;20.0;7.0;20.0;47.0;52.0;1.0;221.0
312720 Funilândia;0.0;2.0;2.0;1.0;2.0;2.0;2.0;0.0;11.0
312730 Galiléia;2.0;5.0;2.0;0.0;1.0;0.0;1.0;0.0;11.0
312733 Gameleiras;0.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;7.0
312735 Glaucilândia;0.0;2.0;3.0;1.0;2.0;0.0;1.0;0.0;9.0
312737 Goiabeira;0.0;3.0;2.0;0.0;1.0;2.0;1.0;0.0;9.0
312738 Goianá;0.0;4.0;1.0;1.0;1.0;2.0;2.0;0.0;11.0
312740 Gonçalves;1.0;0.0;2.0;1.0;1.0;3.0;1.0;0.0;9.0
312750 Gonzaga;1.0;0.0;4.0;1.0;2.0;0.0;2.0;0.0;10.0
312760 Gouveia;1.0;5.0;5.0;0.0;4.0;1.0;3.0;0.0;19.0
312770 Governador Valadares;65.0;478.0;160.0;46.0;73.0;304.0;170.0;21.0;1317.0
312780 Grão Mogol;3.0;9.0;4.0;2.0;1.0;3.0;4.0;0.0;26.0
312790 Grupiara;0.0;2.0;2.0;0.0;1.0;1.0;2.0;0.0;8.0
312800 Guanhães;7.0;29.0;15.0;6.0;4.0;13.0;9.0;1.0;84.0
312810 Guapé;0.0;7.0;4.0;0.0;2.0;0.0;8.0;0.0;21.0
312820 Guaraciaba;1.0;4.0;5.0;2.0;3.0;1.0;2.0;0.0;18.0
312825 Guaraciama;0.0;5.0;2.0;1.0;1.0;2.0;1.0;0.0;12.0
312830 Guaranésia;3.0;14.0;5.0;2.0;1.0;1.0;7.0;2.0;35.0
312840 Guarani;1.0;8.0;4.0;1.0;1.0;2.0;2.0;1.0;20.0
312850 Guarará;1.0;2.0;2.0;1.0;1.0;1.0;3.0;0.0;11.0
312860 Guarda-Mor;1.0;7.0;4.0;2.0;2.0;5.0;3.0;0.0;24.0
312870 Guaxupé;5.0;55.0;40.0;7.0;9.0;25.0;29.0;1.0;171.0
312880 Guidoval;1.0;2.0;7.0;0.0;1.0;4.0;2.0;0.0;17.0
312890 Guimarânia;0.0;5.0;4.0;1.0;1.0;2.0;2.0;0.0;15.0
312900 Guiricema;2.0;8.0;5.0;2.0;2.0;3.0;4.0;0.0;26.0
312910 Gurinhatã;1.0;5.0;2.0;0.0;0.0;0.0;1.0;0.0;9.0
312920 Heliodora;0.0;4.0;1.0;0.0;1.0;4.0;1.0;0.0;11.0
312930 Iapu;1.0;4.0;4.0;1.0;1.0;2.0;1.0;0.0;14.0
312940 Ibertioga;1.0;6.0;2.0;1.0;2.0;5.0;4.0;0.0;21.0
312950 Ibiá;2.0;16.0;16.0;4.0;0.0;17.0;11.0;0.0;66.0
312960 Ibiaí;0.0;2.0;2.0;1.0;1.0;0.0;1.0;0.0;7.0
312965 Ibiracatu;1.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;8.0
312970 Ibiraci;2.0;7.0;4.0;2.0;2.0;13.0;3.0;0.0;33.0
312980 Ibirité;19.0;59.0;24.0;8.0;9.0;30.0;29.0;5.0;183.0
312990 Ibitiúra de Minas;1.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;7.0
313000 Ibituruna;0.0;2.0;3.0;1.0;2.0;1.0;1.0;0.0;10.0
313005 Icaraí de Minas;0.0;8.0;4.0;1.0;1.0;0.0;1.0;0.0;15.0
313010 Igarapé;3.0;24.0;14.0;1.0;3.0;14.0;16.0;1.0;76.0
313020 Igaratinga;0.0;9.0;4.0;2.0;1.0;1.0;5.0;0.0;22.0
313030 Iguatama;0.0;5.0;6.0;0.0;2.0;2.0;1.0;1.0;17.0
313040 Ijaci;0.0;3.0;3.0;0.0;1.0;7.0;1.0;0.0;15.0
313050 Ilicínea;0.0;10.0;5.0;0.0;2.0;1.0;1.0;0.0;19.0
313055 Imbé de Minas;1.0;1.0;3.0;1.0;1.0;1.0;1.0;0.0;9.0
313060 Inconfidentes;0.0;1.0;1.0;0.0;1.0;2.0;2.0;0.0;7.0
313065 Indaiabira;1.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;6.0
313070 Indianópolis;0.0;10.0;5.0;1.0;1.0;1.0;1.0;0.0;19.0
313080 Ingaí;1.0;2.0;1.0;0.0;1.0;4.0;1.0;0.0;10.0
313090 Inhapim;5.0;13.0;8.0;5.0;3.0;4.0;11.0;0.0;49.0
313100 Inhaúma;0.0;5.0;3.0;1.0;1.0;3.0;3.0;0.0;16.0
313110 Inimutaba;0.0;3.0;2.0;0.0;1.0;2.0;1.0;0.0;9.0
313115 Ipaba;4.0;10.0;2.0;1.0;2.0;3.0;6.0;0.0;28.0
313120 Ipanema;3.0;15.0;9.0;1.0;2.0;9.0;3.0;0.0;42.0
313130 Ipatinga;49.0;320.0;152.0;61.0;50.0;209.0;136.0;12.0;989.0
313140 Ipiaçu;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0
313150 Ipuiúna;1.0;8.0;3.0;3.0;2.0;8.0;4.0;0.0;29.0
313160 Iraí de Minas;3.0;2.0;5.0;0.0;2.0;2.0;3.0;0.0;17.0
313170 Itabira;24.0;159.0;93.0;19.0;30.0;148.0;71.0;4.0;548.0
313180 Itabirinha;1.0;6.0;3.0;0.0;1.0;0.0;2.0;0.0;13.0
313190 Itabirito;12.0;37.0;23.0;11.0;12.0;25.0;28.0;3.0;151.0
313200 Itacambira;1.0;4.0;1.0;0.0;1.0;1.0;4.0;0.0;12.0
313210 Itacarambi;1.0;17.0;4.0;1.0;1.0;4.0;2.0;0.0;30.0
313220 Itaguara;2.0;10.0;11.0;2.0;2.0;5.0;7.0;1.0;40.0
313230 Itaipé;1.0;5.0;2.0;0.0;1.0;1.0;1.0;0.0;11.0
313240 Itajubá;20.0;188.0;76.0;20.0;23.0;81.0;82.0;10.0;500.0
313250 Itamarandiba;2.0;21.0;14.0;3.0;6.0;20.0;9.0;0.0;75.0
313260 Itamarati de Minas;0.0;1.0;1.0;0.0;0.0;1.0;2.0;0.0;5.0
313270 Itambacuri;6.0;21.0;7.0;1.0;4.0;9.0;6.0;0.0;54.0
313280 Itambé do Mato Dentro;0.0;4.0;1.0;0.0;1.0;0.0;1.0;0.0;7.0
313290 Itamogi;0.0;10.0;7.0;2.0;1.0;3.0;4.0;2.0;29.0
313300 Itamonte;4.0;11.0;6.0;3.0;3.0;5.0;8.0;0.0;40.0
313310 Itanhandu;5.0;12.0;10.0;2.0;2.0;19.0;3.0;0.0;53.0
313320 Itanhomi;1.0;3.0;2.0;1.0;2.0;3.0;1.0;0.0;13.0
313330 Itaobim;8.0;23.0;8.0;1.0;4.0;10.0;10.0;0.0;64.0
313340 Itapagipe;1.0;13.0;9.0;2.0;4.0;5.0;8.0;0.0;42.0
313350 Itapecerica;2.0;14.0;9.0;1.0;1.0;9.0;6.0;0.0;42.0
313360 Itapeva;1.0;4.0;3.0;0.0;2.0;4.0;5.0;0.0;19.0
313370 Itatiaiuçu;1.0;11.0;5.0;3.0;2.0;3.0;6.0;0.0;31.0
313375 Itaú de Minas;0.0;14.0;10.0;2.0;4.0;13.0;8.0;0.0;51.0
313380 Itaúna;11.0;113.0;63.0;19.0;19.0;99.0;62.0;3.0;389.0
313390 Itaverava;1.0;4.0;2.0;0.0;1.0;0.0;1.0;0.0;9.0
313400 Itinga;1.0;4.0;1.0;0.0;0.0;3.0;2.0;0.0;11.0
313410 Itueta;1.0;6.0;1.0;1.0;1.0;4.0;1.0;0.0;15.0
313420 Ituiutaba;17.0;79.0;41.0;11.0;12.0;46.0;78.0;6.0;290.0
313430 Itumirim;0.0;4.0;2.0;0.0;1.0;5.0;1.0;0.0;13.0
313440 Iturama;6.0;32.0;29.0;10.0;8.0;19.0;23.0;0.0;127.0
313450 Itutinga;0.0;3.0;3.0;0.0;0.0;2.0;2.0;0.0;10.0
313460 Jaboticatubas;2.0;12.0;15.0;1.0;4.0;8.0;8.0;1.0;51.0
313470 Jacinto;4.0;7.0;3.0;1.0;1.0;1.0;2.0;1.0;20.0
313480 Jacuí;0.0;5.0;4.0;2.0;2.0;3.0;1.0;0.0;17.0
313490 Jacutinga;0.0;18.0;10.0;1.0;5.0;8.0;1.0;1.0;44.0
313500 Jaguaraçu;1.0;3.0;2.0;0.0;1.0;0.0;1.0;0.0;8.0
313505 Jaíba;3.0;18.0;9.0;4.0;4.0;3.0;8.0;0.0;49.0
313507 Jampruca;1.0;1.0;2.0;0.0;1.0;1.0;2.0;0.0;8.0
313510 Janaúba;21.0;86.0;31.0;11.0;15.0;16.0;35.0;2.0;217.0
313520 Januária;5.0;43.0;22.0;8.0;5.0;15.0;14.0;1.0;113.0
313530 Japaraíba;2.0;2.0;5.0;1.0;1.0;1.0;3.0;0.0;15.0
313535 Japonvar;0.0;4.0;2.0;0.0;1.0;1.0;1.0;1.0;10.0
313540 Jeceaba;0.0;11.0;3.0;1.0;2.0;5.0;2.0;0.0;24.0
313545 Jenipapo de Minas;1.0;5.0;2.0;1.0;0.0;0.0;2.0;0.0;11.0
313550 Jequeri;4.0;4.0;5.0;2.0;1.0;4.0;4.0;1.0;25.0
313560 Jequitaí;0.0;3.0;1.0;0.0;2.0;1.0;0.0;0.0;7.0
313570 Jequitibá;0.0;8.0;2.0;1.0;2.0;2.0;2.0;1.0;18.0
313580 Jequitinhonha;8.0;20.0;6.0;1.0;4.0;2.0;6.0;0.0;47.0
313590 Jesuânia;0.0;3.0;2.0;0.0;2.0;3.0;1.0;0.0;11.0
313600 Joaíma;5.0;10.0;2.0;0.0;4.0;0.0;3.0;0.0;24.0
313610 Joanésia;0.0;5.0;1.0;0.0;1.0;1.0;2.0;0.0;10.0
313620 João Monlevade;7.0;71.0;28.0;8.0;11.0;32.0;26.0;2.0;185.0
313630 João Pinheiro;6.0;43.0;23.0;3.0;8.0;13.0;10.0;1.0;107.0
313640 Joaquim Felício;1.0;7.0;4.0;0.0;2.0;3.0;1.0;0.0;18.0
313650 Jordânia;1.0;3.0;4.0;0.0;2.0;3.0;2.0;0.0;15.0
313652 José Gonçalves de Minas;0.0;6.0;2.0;0.0;2.0;0.0;1.0;0.0;11.0
313655 José Raydan;0.0;2.0;2.0;0.0;1.0;0.0;1.0;0.0;6.0
313657 Josenópolis;0.0;3.0;3.0;0.0;1.0;0.0;1.0;0.0;8.0
313665 Juatuba;9.0;11.0;14.0;1.0;4.0;27.0;12.0;1.0;79.0
313670 Juiz de Fora;160.0;1108.0;478.0;129.0;126.0;542.0;326.0;59.0;2928.0
313680 Juramento;0.0;3.0;2.0;0.0;1.0;1.0;0.0;0.0;7.0
313690 Juruaia;1.0;6.0;4.0;1.0;1.0;3.0;4.0;0.0;20.0
313695 Juvenília;1.0;5.0;2.0;0.0;1.0;1.0;2.0;0.0;12.0
313700 Ladainha;1.0;6.0;5.0;0.0;1.0;3.0;1.0;1.0;18.0
313710 Lagamar;0.0;8.0;4.0;0.0;1.0;4.0;3.0;0.0;20.0
313720 Lagoa da Prata;10.0;42.0;31.0;3.0;5.0;17.0;31.0;0.0;139.0
313730 Lagoa dos Patos;1.0;1.0;2.0;0.0;1.0;1.0;1.0;0.0;7.0
313740 Lagoa Dourada;1.0;9.0;4.0;4.0;1.0;2.0;5.0;0.0;26.0
313750 Lagoa Formosa;1.0;9.0;8.0;1.0;3.0;20.0;13.0;0.0;55.0
313753 Lagoa Grande;2.0;4.0;7.0;1.0;2.0;4.0;4.0;0.0;24.0
313760 Lagoa Santa;24.0;42.0;21.0;10.0;13.0;50.0;55.0;4.0;219.0
313770 Lajinha;2.0;15.0;1.0;1.0;1.0;7.0;3.0;1.0;31.0
313780 Lambari;5.0;10.0;8.0;1.0;4.0;7.0;8.0;0.0;43.0
313790 Lamim;0.0;6.0;2.0;1.0;2.0;0.0;1.0;0.0;12.0
313800 Laranjal;2.0;2.0;4.0;1.0;1.0;8.0;4.0;0.0;22.0
313810 Lassance;1.0;9.0;4.0;1.0;1.0;0.0;3.0;0.0;19.0
313820 Lavras;10.0;112.0;89.0;13.0;37.0;97.0;78.0;5.0;441.0
313830 Leandro Ferreira;0.0;2.0;2.0;1.0;0.0;2.0;1.0;0.0;8.0
313835 Leme do Prado;1.0;6.0;4.0;1.0;1.0;1.0;2.0;0.0;16.0
313840 Leopoldina;6.0;55.0;31.0;7.0;9.0;15.0;11.0;4.0;138.0
313850 Liberdade;3.0;4.0;4.0;0.0;1.0;0.0;4.0;0.0;16.0
313860 Lima Duarte;5.0;21.0;12.0;3.0;3.0;12.0;13.0;2.0;71.0
313862 Limeira do Oeste;2.0;9.0;6.0;4.0;1.0;5.0;6.0;1.0;34.0
313865 Lontra;1.0;9.0;2.0;0.0;1.0;0.0;1.0;0.0;14.0
313867 Luisburgo;1.0;5.0;3.0;1.0;1.0;0.0;1.0;1.0;13.0
313868 Luislândia;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;5.0
313870 Luminárias;0.0;6.0;3.0;0.0;1.0;3.0;2.0;0.0;15.0
313880 Luz;1.0;23.0;9.0;0.0;3.0;5.0;7.0;0.0;48.0
313890 Machacalis;3.0;8.0;3.0;0.0;4.0;1.0;3.0;0.0;22.0
313900 Machado;5.0;28.0;20.0;3.0;10.0;46.0;21.0;1.0;134.0
313910 Madre de Deus de Minas;0.0;3.0;2.0;1.0;1.0;2.0;3.0;0.0;12.0
313920 Malacacheta;3.0;14.0;3.0;0.0;3.0;5.0;3.0;0.0;31.0
313925 Mamonas;1.0;3.0;2.0;1.0;1.0;1.0;1.0;0.0;10.0
313930 Manga;3.0;18.0;4.0;1.0;2.0;2.0;5.0;0.0;35.0
313940 Manhuaçu;20.0;106.0;56.0;13.0;22.0;95.0;55.0;3.0;370.0
313950 Manhumirim;6.0;11.0;9.0;2.0;0.0;5.0;6.0;0.0;39.0
313960 Mantena;9.0;24.0;15.0;4.0;4.0;5.0;15.0;5.0;81.0
313980 Mar de Espanha;0.0;6.0;8.0;2.0;1.0;6.0;8.0;0.0;31.0
313970 Maravilhas;0.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;9.0
313990 Maria da Fé;1.0;9.0;7.0;1.0;1.0;16.0;5.0;0.0;40.0
314000 Mariana;14.0;40.0;33.0;11.0;23.0;46.0;46.0;2.0;215.0
314010 Marilac;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0
314015 Mário Campos;1.0;8.0;3.0;1.0;1.0;3.0;5.0;1.0;23.0
314020 Maripá de Minas;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;7.0
314030 Marliéria;0.0;6.0;3.0;0.0;1.0;0.0;3.0;0.0;13.0
314040 Marmelópolis;0.0;2.0;0.0;0.0;1.0;3.0;2.0;0.0;8.0
314050 Martinho Campos;0.0;7.0;11.0;1.0;4.0;9.0;5.0;0.0;37.0
314053 Martins Soares;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0
314055 Mata Verde;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0
314060 Materlândia;1.0;3.0;2.0;0.0;1.0;1.0;1.0;0.0;9.0
314070 Mateus Leme;2.0;19.0;13.0;4.0;7.0;17.0;22.0;0.0;84.0
317150 Mathias Lobato;1.0;2.0;2.0;0.0;3.0;2.0;0.0;0.0;10.0
314080 Matias Barbosa;3.0;7.0;2.0;2.0;1.0;5.0;4.0;1.0;25.0
314085 Matias Cardoso;1.0;7.0;4.0;0.0;1.0;3.0;1.0;0.0;17.0
314090 Matipó;3.0;9.0;4.0;2.0;2.0;1.0;6.0;0.0;27.0
314100 Mato Verde;1.0;5.0;4.0;0.0;1.0;7.0;2.0;0.0;20.0
314110 Matozinhos;2.0;17.0;7.0;3.0;3.0;18.0;7.0;2.0;59.0
314120 Matutina;0.0;3.0;3.0;0.0;1.0;6.0;1.0;0.0;14.0
314130 Medeiros;1.0;5.0;2.0;0.0;1.0;1.0;1.0;0.0;11.0
314140 Medina;3.0;13.0;7.0;1.0;1.0;1.0;2.0;0.0;28.0
314150 Mendes Pimentel;1.0;9.0;1.0;0.0;1.0;2.0;1.0;0.0;15.0
314160 Mercês;1.0;9.0;9.0;2.0;1.0;6.0;3.0;0.0;31.0
314170 Mesquita;0.0;3.0;3.0;0.0;1.0;1.0;3.0;0.0;11.0
314180 Minas Novas;3.0;21.0;12.0;3.0;5.0;9.0;8.0;0.0;61.0
314190 Minduri;1.0;4.0;3.0;1.0;0.0;3.0;1.0;0.0;13.0
314200 Mirabela;3.0;7.0;2.0;1.0;3.0;1.0;4.0;0.0;21.0
314210 Miradouro;2.0;3.0;6.0;3.0;1.0;8.0;6.0;2.0;31.0
314220 Miraí;3.0;5.0;6.0;2.0;4.0;5.0;5.0;0.0;30.0
314225 Miravânia;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;4.0
314230 Moeda;0.0;1.0;3.0;0.0;1.0;1.0;2.0;0.0;8.0
314240 Moema;1.0;6.0;5.0;0.0;0.0;1.0;0.0;0.0;13.0
314250 Monjolos;0.0;2.0;2.0;0.0;2.0;2.0;1.0;0.0;9.0
314260 Monsenhor Paulo;1.0;6.0;2.0;1.0;2.0;10.0;5.0;0.0;27.0
314270 Montalvânia;0.0;8.0;3.0;1.0;2.0;0.0;1.0;0.0;15.0
314280 Monte Alegre de Minas;4.0;9.0;5.0;1.0;2.0;0.0;7.0;0.0;28.0
314290 Monte Azul;3.0;20.0;6.0;0.0;2.0;4.0;5.0;1.0;41.0
314300 Monte Belo;1.0;9.0;9.0;2.0;2.0;4.0;2.0;0.0;29.0
314310 Monte Carmelo;4.0;40.0;17.0;1.0;7.0;20.0;9.0;0.0;98.0
314315 Monte Formoso;0.0;3.0;1.0;0.0;1.0;0.0;1.0;1.0;7.0
314320 Monte Santo de Minas;1.0;18.0;8.0;2.0;4.0;0.0;10.0;0.0;43.0
314340 Monte Sião;3.0;7.0;8.0;4.0;1.0;32.0;5.0;2.0;62.0
314330 Montes Claros;57.0;516.0;253.0;79.0;50.0;231.0;236.0;21.0;1443.0
314345 Montezuma;1.0;6.0;4.0;3.0;1.0;0.0;1.0;0.0;16.0
314350 Morada Nova de Minas;2.0;6.0;5.0;3.0;1.0;4.0;2.0;1.0;24.0
314360 Morro da Garça;1.0;4.0;0.0;0.0;1.0;1.0;2.0;0.0;9.0
314370 Morro do Pilar;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0
314380 Munhoz;0.0;5.0;1.0;0.0;0.0;2.0;1.0;0.0;9.0
314390 Muriaé;35.0;209.0;109.0;24.0;39.0;50.0;66.0;1.0;533.0
314400 Mutum;5.0;18.0;5.0;3.0;3.0;3.0;6.0;0.0;43.0
314410 Muzambinho;2.0;18.0;12.0;3.0;6.0;8.0;7.0;0.0;56.0
314420 Nacip Raydan;0.0;3.0;3.0;1.0;1.0;0.0;1.0;0.0;9.0
314430 Nanuque;3.0;34.0;22.0;4.0;5.0;41.0;7.0;1.0;117.0
314435 Naque;0.0;4.0;1.0;2.0;1.0;0.0;2.0;0.0;10.0
314437 Natalândia;0.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;5.0
314440 Natércia;0.0;6.0;3.0;0.0;1.0;3.0;2.0;0.0;15.0
314450 Nazareno;0.0;6.0;2.0;0.0;0.0;1.0;3.0;0.0;12.0
